year,fmp,rpn,method,rpn_cv
2005,Bering Sea,23436.9283919283,sq_meanprop,0.198
2006,Bering Sea,15081.884991173421,sq_meanprop,0.198
2007,Bering Sea,17019.7363935607,sq_meanprop,0.198
2008,Bering Sea,12432.758812771375,sq_meanprop,0.198
2009,Bering Sea,25744.1573173125,sq_meanprop,0.198
2010,Bering Sea,7296.417257713674,sq_meanprop,0.198
2011,Bering Sea,14590.3531960252,sq_meanprop,0.198
2012,Bering Sea,15660.835947421387,sq_meanprop,0.198
2013,Bering Sea,19485.4747314245,sq_meanprop,0.198
2014,Bering Sea,13084.72563815799,sq_meanprop,0.198
2015,Bering Sea,20930.4501549686,sq_meanprop,0.198
2016,Bering Sea,6947.470244844762,sq_meanprop,0.198
2017,Bering Sea,20218.3931320785,sq_meanprop,0.198
2018,Bering Sea,12329.332076899947,sq_meanprop,0.198
2019,Bering Sea,9950.89600931864,sq_meanprop,0.198
2020,Bering Sea,11237.963566634835,sq_meanprop,0.198
2021,Bering Sea,15375.9874736386,sq_meanprop,0.198
2022,Bering Sea,6853.074505187648,sq_meanprop,0.198
2023,Bering Sea,10279.1314037308,sq_meanprop,0.198
1996,Aleutians,33439.8175391685,new_linapprox,0.05502802056655884
1997,Aleutians,34667.811104844746,new_linapprox,0.12226853162283632
1998,Aleutians,35895.804670521,new_linapprox,0.1895090426791138
1999,Aleutians,28267.6778948476,new_linapprox,0.18288706415566586
2000,Aleutians,20639.5511191742,new_linapprox,0.17626508563221793
2001,Aleutians,19928.451833741,new_linapprox,0.20888723196538111
2002,Aleutians,19217.3525483078,new_linapprox,0.24150937829854427
2003,Aleutians,16812.9038560563,new_linapprox,0.2841628944443886
2004,Aleutians,14408.4551638048,new_linapprox,0.3268164105902329
2005,Aleutians,10419.44441512621,new_linapprox,0.3015027352411881
2006,Aleutians,6430.4336664476205,new_linapprox,0.2761890598921433
2007,Aleutians,5865.682304988695,new_linapprox,0.28953710172889413
2008,Aleutians,5300.93094352977,new_linapprox,0.3028851435656449
2009,Aleutians,4205.945015797695,new_linapprox,0.30653179097513206
2010,Aleutians,3110.95908806562,new_linapprox,0.3101784383846192
2011,Aleutians,4894.119468019405,new_linapprox,0.3066026477021079
2012,Aleutians,6677.27984797319,new_linapprox,0.3030268570195966
2013,Aleutians,6128.094302835265,new_linapprox,0.2531245114377035
2014,Aleutians,5578.90875769734,new_linapprox,0.20322216585581038
2015,Aleutians,4270.543996798905,new_linapprox,0.2214156435146222
2016,Aleutians,2962.17923590047,new_linapprox,0.23960912117343403
2017,Aleutians,4109.5061626497145,new_linapprox,0.3017296318073518
2018,Aleutians,5256.83308939896,new_linapprox,0.3638501424412696
2019,Aleutians,5024.170765855955,new_linapprox,0.3364330369118631
2020,Aleutians,4791.50844231295,new_linapprox,0.30901593138245653
2021,Aleutians,3856.7201760959,new_linapprox,0.33510200542726065
2022,Aleutians,2921.93190987885,new_linapprox,0.36118807947206477
2023,Aleutians,2921.93190987885,new_linapprox,0.36118807947206477
1996,Bering Sea,57216.3004824379,new_linapprox,0.08330621783715757
1997,Bering Sea,57216.3004824379,new_linapprox,0.08330621783715757
1998,Bering Sea,58199.364147425,new_linapprox,0.11790510835002563
1999,Bering Sea,59182.4278124121,new_linapprox,0.1525039988628937
2000,Bering Sea,55775.92663026275,new_linapprox,0.13270054094594308
2001,Bering Sea,52369.4254481134,new_linapprox,0.11289708302899247
2002,Bering Sea,48693.4635134883,new_linapprox,0.17429102623399773
2003,Bering Sea,45017.5015788632,new_linapprox,0.23568496943900297
2004,Bering Sea,34227.21498539575,new_linapprox,0.19426081070185172
2005,Bering Sea,23436.9283919283,new_linapprox,0.15283665196470048
2006,Bering Sea,20228.3323927445,new_linapprox,0.19852960081866833
2007,Bering Sea,17019.7363935607,new_linapprox,0.24422254967263618
2008,Bering Sea,21381.9468554366,new_linapprox,0.24406279315684173
2009,Bering Sea,25744.1573173125,new_linapprox,0.2439030366410473
2010,Bering Sea,20167.25525666885,new_linapprox,0.233001369406681
2011,Bering Sea,14590.3531960252,new_linapprox,0.22209970217231473
2012,Bering Sea,17037.91396372485,new_linapprox,0.2366055919869042
2013,Bering Sea,19485.4747314245,new_linapprox,0.2511114818014937
2014,Bering Sea,20207.96244319655,new_linapprox,0.24250570279057246
2015,Bering Sea,20930.4501549686,new_linapprox,0.23389992377965124
2016,Bering Sea,20574.42164352355,new_linapprox,0.22963146203528167
2017,Bering Sea,20218.3931320785,new_linapprox,0.22536300029091214
2018,Bering Sea,15084.64457069857,new_linapprox,0.2459114288557936
2019,Bering Sea,9950.89600931864,new_linapprox,0.266459857420675
2020,Bering Sea,12663.441741478618,new_linapprox,0.23157904488116204
2021,Bering Sea,15375.9874736386,new_linapprox,0.19669823234164904
2022,Bering Sea,12827.5594386847,new_linapprox,0.18158375592906112
2023,Bering Sea,10279.1314037308,new_linapprox,0.16646927951647322
